Model,MeanSquaredError,Accuracy,Precision,Recall,F1
LogisticRegression,0.19185059422750425,0.8081494057724957,0.7581792318634424,0.9049235993208828,0.8250773993808049
RandomForest,0.17062818336162988,0.8293718166383701,0.7848751835535976,0.9074702886247877,0.841732283464567
XGBoost,0.09256900212314224,0.9074309978768578,0.9060913705583756,0.9091680814940577,0.9076271186440678
LGBoost,0.18633276740237692,0.8136672325976231,0.7626154939587776,0.9108658743633277,0.830174081237911
